t1_wg_coarse.tsv	counts	t1	wg_coarse	FALSE	TRUE
t1_wg_medium.tsv	counts	t1	wg_medium	FALSE	TRUE
t1_wg_fine.tsv	counts	t1	wg_fine	FALSE	TRUE
t1_targeted.tsv	counts	t1	targeted	TRUE	FALSE
t1_baf.tsv	baf	t1	targeted	TRUE	TRUE
t1_seg.tsv	deletions	t1	wg_medium	FALSE	FALSE
t2_wg_coarse.tsv	counts	t2	wg_coarse	FALSE	TRUE
t2_wg_medium.tsv	counts	t2	wg_medium	FALSE	TRUE
t2_wg_fine.tsv	counts	t2	wg_fine	FALSE	TRUE
t2_targeted.tsv	counts	t2	targeted	TRUE	FALSE
t2_baf.tsv	baf	t2	targeted	TRUE	TRUE
t2_seg.tsv	deletions	t2	wg_medium	FALSE	FALSE
t3_wg_coarse.tsv	counts	t3	wg_coarse	FALSE	TRUE
t3_wg_medium.tsv	counts	t3	wg_medium	FALSE	TRUE
t3_wg_fine.tsv	counts	t3	wg_fine	FALSE	TRUE
t3_targeted.tsv	counts	t3	targeted	TRUE	FALSE
t3_baf.tsv	baf	t3	targeted	TRUE	TRUE
t3_seg.tsv	deletions	t3	wg_medium	FALSE	FALSE
t4_wg_coarse.tsv	counts	t4	wg_coarse	FALSE	TRUE
t4_wg_medium.tsv	counts	t4	wg_medium	FALSE	TRUE
t4_wg_fine.tsv	counts	t4	wg_fine	FALSE	TRUE
t4_targeted.tsv	counts	t4	targeted	TRUE	FALSE
t4_baf.tsv	baf	t4	targeted	TRUE	TRUE
t4_seg.tsv	deletions	t4	wg_medium	FALSE	FALSE
